id,coverage,k-length,metric,score
164,10,10.0,BC,0.23255484976463936
164,10,10.0,BF,0.13039087888330575
164,10,10.0,CS,0.14566218122771224
164,30,10.0,BC,0.18364920254184575
164,30,10.0,BF,0.08606212998908844
164,30,10.0,CS,0.09711158562663776
164,10,20.0,BC,0.33933993802538603
164,10,20.0,BF,0.288558192269435
164,10,20.0,CS,0.33636776554527537
164,30,20.0,BC,0.29992378735892344
164,30,20.0,BF,0.20209067659885066
164,30,20.0,CS,0.24066175406136528
164,10,30.0,BC,0.3939743709321309
164,10,30.0,BF,0.3805016370523991
164,10,30.0,CS,0.43959268438758636
164,30,30.0,BC,0.3740965808852562
164,30,30.0,BF,0.2692166798206424
164,30,30.0,CS,0.3199159218110129
164,10,40.0,BC,0.42783303853912824
164,10,40.0,BF,0.47170588879630376
164,10,40.0,CS,0.5381614521908946
164,30,40.0,BC,0.4354346454919875
164,30,40.0,BF,0.324131917494355
164,30,40.0,CS,0.38516400399395173
164,10,10.0,BF_Small,0.00600574674078354
164,30,10.0,BF_Small,0.0036603116082790086
164,10,20.0,BF_Small,0.00969082559464915
164,30,20.0,BF_Small,0.006013273303107989
164,10,30.0,BF_Small,0.013623337414964048
164,30,30.0,BF_Small,0.00823415572511494
164,10,40.0,BF_Small,0.018436805517359784
164,30,40.0,BF_Small,0.009926607681795714
