id,coverage,k-length,metric,score
35,10,10.0,BC,0.3952868656948504
35,10,10.0,BF,0.2617620914238441
35,10,10.0,CS,0.2721191085368846
35,30,10.0,BC,0.35169179703373327
35,30,10.0,BF,0.2309192040029012
35,30,10.0,CS,0.24061306207628277
35,10,20.0,BC,0.6256760993451244
35,10,20.0,BF,0.5380881702688499
35,10,20.0,CS,0.5701205678626015
35,30,20.0,BC,0.5863235060127961
35,30,20.0,BF,0.5009419017603721
35,30,20.0,CS,0.5332845473863709
35,10,30.0,BC,0.7125860261242287
35,10,30.0,BF,0.6270540453343242
35,10,30.0,CS,0.6654732273349232
35,30,30.0,BC,0.679728011183781
35,30,30.0,BF,0.5927547853550781
35,30,30.0,CS,0.6323678967173941
35,10,40.0,BC,0.7647928961706422
35,10,40.0,BF,0.6800811388841914
35,10,40.0,CS,0.7224069526260419
35,30,40.0,BC,0.7355903957929937
35,30,40.0,BF,0.646468489368657
35,30,40.0,CS,0.6908473361671401
