"k"	"probs1"	"probs2"	"theo_prob_forward"	"theo_prob_reverse"	"emp_prob_forward"	"emp_prob_reverse"
"1"	5	"0.25, 0.25, 0.25, 0.25"	"0.25, 0.25, 0.25, 0.25"	0.999942658636563	0.999942658636563	0.99996	0.99994
"2"	5	"0.3, 0.2, 0.3, 0.2"	"0.3, 0.2, 0.3, 0.2"	0.999993097898135	0.999651756821895	0.99862	0.99394
"3"	5	"0.2, 0.3, 0.2, 0.3"	"0.2, 0.3, 0.2, 0.3"	0.999993097898135	0.999651756821895	0.99868	0.99428
"4"	5	"0.15, 0.35, 0.15, 0.35"	"0.15, 0.35, 0.15, 0.35"	0.999999998779494	0.983148258039882	0.99177	0.85397
"5"	5	"0.35, 0.15, 0.35, 0.15"	"0.35, 0.15, 0.35, 0.15"	0.999999998779494	0.983148258039882	0.99163	0.85538
"6"	6	"0.25, 0.25, 0.25, 0.25"	"0.25, 0.25, 0.25, 0.25"	0.912881277973146	0.912881277973146	0.91463	0.91114
"7"	6	"0.3, 0.2, 0.3, 0.2"	"0.3, 0.2, 0.3, 0.2"	0.954411062271682	0.851957632428817	0.90531	0.79136
"8"	6	"0.2, 0.3, 0.2, 0.3"	"0.2, 0.3, 0.2, 0.3"	0.954411062271682	0.851957632428817	0.90518	0.79223
"9"	6	"0.15, 0.35, 0.15, 0.35"	"0.15, 0.35, 0.15, 0.35"	0.997386403362612	0.575680742907319	0.90627	0.44157
"10"	6	"0.35, 0.15, 0.35, 0.15"	"0.35, 0.15, 0.35, 0.15"	0.997386403362612	0.575680742907319	0.90392	0.44614
"11"	7	"0.25, 0.25, 0.25, 0.25"	"0.25, 0.25, 0.25, 0.25"	0.456651286717748	0.456651286717748	0.45825	0.4548
"12"	7	"0.3, 0.2, 0.3, 0.2"	"0.3, 0.2, 0.3, 0.2"	0.551896634379985	0.367694405427384	0.51581	0.34878
"13"	7	"0.2, 0.3, 0.2, 0.3"	"0.2, 0.3, 0.2, 0.3"	0.551896634379985	0.367694405427384	0.51691	0.34823
"14"	7	"0.15, 0.35, 0.15, 0.35"	"0.15, 0.35, 0.15, 0.35"	0.8216667602056	0.16473180141511	0.64657	0.14142
"15"	7	"0.35, 0.15, 0.35, 0.15"	"0.35, 0.15, 0.35, 0.15"	0.8216667602056	0.16473180141511	0.6434	0.14338
"16"	8	"0.25, 0.25, 0.25, 0.25"	"0.25, 0.25, 0.25, 0.25"	0.141425860007218	0.141425860007218	0.14103	0.14182
"17"	8	"0.3, 0.2, 0.3, 0.2"	"0.3, 0.2, 0.3, 0.2"	0.18834756370455	0.1041648496019	0.18424	0.10088
"18"	8	"0.2, 0.3, 0.2, 0.3"	"0.2, 0.3, 0.2, 0.3"	0.18834756370455	0.1041648496019	0.18231	0.1015
"19"	8	"0.15, 0.35, 0.15, 0.35"	"0.15, 0.35, 0.15, 0.35"	0.393413988475358	0.0370910836031758	0.32588	0.03605
"20"	8	"0.35, 0.15, 0.35, 0.15"	"0.35, 0.15, 0.35, 0.15"	0.393413988475358	0.0370910836031758	0.3277	0.03558
"21"	9	"0.25, 0.25, 0.25, 0.25"	"0.25, 0.25, 0.25, 0.25"	0.0373992353743177	0.0373992353743177	0.0378	0.03725
"22"	9	"0.3, 0.2, 0.3, 0.2"	"0.3, 0.2, 0.3, 0.2"	0.0528063776544155	0.0260516210894753	0.05116	0.02535
"23"	9	"0.2, 0.3, 0.2, 0.3"	"0.2, 0.3, 0.2, 0.3"	0.0528063776544155	0.0260516210894753	0.0517	0.02625
"24"	9	"0.15, 0.35, 0.15, 0.35"	"0.15, 0.35, 0.15, 0.35"	0.13494003784755	0.00790503891415772	0.12544	0.00808
"25"	9	"0.35, 0.15, 0.35, 0.15"	"0.35, 0.15, 0.35, 0.15"	0.13494003784755	0.00790503891415772	0.12591	0.00786
"26"	10	"0.25, 0.25, 0.25, 0.25"	"0.25, 0.25, 0.25, 0.25"	0.00948291550567593	0.00948291550567593	0.00929	0.0089
"27"	10	"0.3, 0.2, 0.3, 0.2"	"0.3, 0.2, 0.3, 0.2"	0.0140050188285415	0.00631461230655661	0.01391	0.00633
"28"	10	"0.2, 0.3, 0.2, 0.3"	"0.2, 0.3, 0.2, 0.3"	0.0140050188285415	0.00631461230655661	0.01392	0.00635
"29"	10	"0.15, 0.35, 0.15, 0.35"	"0.15, 0.35, 0.15, 0.35"	0.0411618118410273	0.00166509922883318	0.03944	0.00187
"30"	10	"0.35, 0.15, 0.35, 0.15"	"0.35, 0.15, 0.35, 0.15"	0.0411618118410273	0.00166509922883318	0.03975	0.00154
"31"	11	"0.25, 0.25, 0.25, 0.25"	"0.25, 0.25, 0.25, 0.25"	0.00237896764968348	0.00237896764968348	0.00232	0.00227
"32"	11	"0.3, 0.2, 0.3, 0.2"	"0.3, 0.2, 0.3, 0.2"	0.00365996077211495	0.00151900472052158	0.00361	0.00163
"33"	11	"0.2, 0.3, 0.2, 0.3"	"0.2, 0.3, 0.2, 0.3"	0.00365996077211495	0.00151900472052158	0.00394	0.00148
"34"	11	"0.15, 0.35, 0.15, 0.35"	"0.15, 0.35, 0.15, 0.35"	0.0121143400147452	0.000349866011574496	0.01193	3e-04
"35"	11	"0.35, 0.15, 0.35, 0.15"	"0.35, 0.15, 0.35, 0.15"	0.0121143400147452	0.000349866011574496	0.01164	4e-04
"36"	12	"0.25, 0.25, 0.25, 0.25"	"0.25, 0.25, 0.25, 0.25"	0.000595213604465905	0.000595213604465905	0.00065	0.00052
"37"	12	"0.3, 0.2, 0.3, 0.2"	"0.3, 0.2, 0.3, 0.2"	0.000952785704399162	0.000364735224897994	0.00119	0.00027
"38"	12	"0.2, 0.3, 0.2, 0.3"	"0.2, 0.3, 0.2, 0.3"	0.000952785704399162	0.000364735224897994	0.00098	0.00038
"39"	12	"0.15, 0.35, 0.15, 0.35"	"0.15, 0.35, 0.15, 0.35"	0.00352801836184569	7.34746617991888e-05	0.0034	4e-05
"40"	12	"0.35, 0.15, 0.35, 0.15"	"0.35, 0.15, 0.35, 0.15"	0.00352801836184569	7.34746617991888e-05	0.00355	9e-05
"41"	13	"0.25, 0.25, 0.25, 0.25"	"0.25, 0.25, 0.25, 0.25"	0.000148821724061499	0.000148821724061499	0.00013	0.00012
"42"	13	"0.3, 0.2, 0.3, 0.2"	"0.3, 0.2, 0.3, 0.2"	0.000247786847701326	8.75398236955816e-05	0.00019	1e-04
"43"	13	"0.2, 0.3, 0.2, 0.3"	"0.2, 0.3, 0.2, 0.3"	0.000247786847701326	8.75398236955816e-05	0.00039	8e-05
"44"	13	"0.15, 0.35, 0.15, 0.35"	"0.15, 0.35, 0.15, 0.35"	0.00102430668785936	1.54285822377975e-05	0.00102	2e-05
"45"	13	"0.35, 0.15, 0.35, 0.15"	"0.35, 0.15, 0.35, 0.15"	0.00102430668785936	1.54285822377975e-05	0.00096	1e-05
"46"	14	"0.25, 0.25, 0.25, 0.25"	"0.25, 0.25, 0.25, 0.25"	3.72037822021776e-05	3.72037822021776e-05	9e-05	4e-05
"47"	14	"0.3, 0.2, 0.3, 0.2"	"0.3, 0.2, 0.3, 0.2"	6.4424037062194e-05	2.10081527446393e-05	4e-05	0
"48"	14	"0.2, 0.3, 0.2, 0.3"	"0.2, 0.3, 0.2, 0.3"	6.4424037062194e-05	2.10081527446393e-05	5e-05	3e-05
"49"	14	"0.15, 0.35, 0.15, 0.35"	"0.15, 0.35, 0.15, 0.35"	0.000297127260167063	3.23969723459161e-06	0.00035	0
"50"	14	"0.35, 0.15, 0.35, 0.15"	"0.35, 0.15, 0.35, 0.15"	0.000297127260167063	3.23969723459161e-06	0.00032	0
"51"	15	"0.25, 0.25, 0.25, 0.25"	"0.25, 0.25, 0.25, 0.25"	9.30014398781154e-06	9.30014398781154e-06	1e-05	1e-05
"52"	15	"0.3, 0.2, 0.3, 0.2"	"0.3, 0.2, 0.3, 0.2"	1.67489714320013e-05	5.04149196223214e-06	2e-05	0
"53"	15	"0.2, 0.3, 0.2, 0.3"	"0.2, 0.3, 0.2, 0.3"	1.67489714320013e-05	5.04149196223214e-06	1e-05	0
"54"	15	"0.15, 0.35, 0.15, 0.35"	"0.15, 0.35, 0.15, 0.35"	8.61673660785822e-05	6.80268912534032e-07	1e-04	0
"55"	15	"0.35, 0.15, 0.35, 0.15"	"0.35, 0.15, 0.35, 0.15"	8.61673660785822e-05	6.80268912534032e-07	9e-05	0
